RecentDecline,ExceptionalRecentDecline,HistoricDecline,RecentGrowth,ExceptionalRecentGrowth,HistoricGrowth,Stable
Declined between 1961-1990 and 1991-2020,Occupancy in 1991-2020 is lower than all historical time periods. (A subset of Recent Decline and Historical Decline),Declined between 1900-1930 and 1991-2020,Increased between 1961-1990 and 1991-2020,Occupancy in 1991-2020 is greater than all historical time periods (A subset of Recent Growth and Historical Growth),Increased between 1900-1930 and 1991-2020,No significant change over recent or historical time frames
Anasimyia anausis,Anasimyia anausis,Anasimyia anausis,Allograpta obliqua,Allograpta obliqua,Allograpta obliqua,Allograpta exotica
Anasimyia chrysostoma,Anasimyia chrysostoma,Anasimyia chrysostoma,Epistrophe grossulariae,Epistrophe grossulariae,Baccha elongata,Anasimyia (Lejops) bilinearis
Cheilosia orilliaensis (consentiens),Cheilosia orilliaensis (consentiens),Brachypalpus femoratus,Eristalis flavipes,Eristalis flavipes,Chalcosyrphus (Xylota) libo,Arctosyrphus (Lejops) willingii
Cheilosia prima,Chrysotoxum chinook,Cheilosia orilliaensis (consentiens),Eristalis tenax,Eristalis tenax,Copestylum vesicularium,Baccha cognata
Chrysogaster antitheus (ontario),Chrysotoxum coloradense (fasciatum),Chrysotoxum chinook,Eristalis transversa,Eristalis transversa,Epistrophe grossulariae,Blera analis
Chrysotoxum chinook,"Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)",Chrysotoxum coloradense (fasciatum),Eupeodes americanus,Eupeodes americanus,Eristalinus aeneus,Blera armillata
Chrysotoxum coloradense (fasciatum),Dasysyrphus intrudens,"Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)",Eupeodes fumipennis,Helophilus fasciatus,Eristalis flavipes,Blera badia
"Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)",Eristalis brousii,Dasysyrphus creper,Helophilus fasciatus,Hypocritanus (Ocyptamus) fascipennis,Eristalis tenax,Blera confusa
Chrysotoxum flavifrons,Eristalis fraterculus,Dasysyrphus intrudens,Hypocritanus (Ocyptamus) fascipennis,Sericomyia militaris,Eristalis transversa,Blera nigra
Chrysotoxum plumeum (perplexum),Eristalis hirta,Eristalis arbustorum,Polydontomyia (Lejops) curvipes,Spilomyia fusca,Eupeodes americanus,Blera pictipes
Chrysotoxum pubescens (luteopilosum),Helophilus groenlandicus,Eristalis brousii,Sericomyia militaris,Spilomyia sayi,Eupeodes fumipennis,Blera scitula
Criorhina caudata,Helophilus latifrons,Eristalis fraterculus,Spilomyia fusca,Toxomerus geminatus,Helophilus fasciatus,Brachyopa flavescens
Criorhina verbosa,Lejota cyanea,Eristalis hirta,Spilomyia sayi,Toxomerus marginatus,Hypocritanus (Ocyptamus) fascipennis,Brachyopa notata
Dasysyrphus creper,Melangyna lasiophthalma,Helophilus groenlandicus,Toxomerus geminatus,,"Mallota (Imatisma) posticata (bardus,separata)",Brachyopa perplexa
Dasysyrphus intrudens,Melangyna umbellatarum,Helophilus latifrons,Toxomerus marginatus,,"Melanostoma mellinum (angustatum,fallax,melanderi,pallitarsis)",Brachypalpus amithaon
Dasysyrphus limatus,Neoascia globosa (distincta),Lejota cyanea,,,Meliscaeva cinctella,Brachypalpus cyanella
Dasysyrphus pauxillus,Paragus angustifrons,Melangyna lasiophthalma,,,Merodon equestris,Brachypalpus oarus (margaritus)
Eristalis arbustorum,Parasyrphus relictus,Melangyna umbellatarum,,,Milesia virginiensis,Ceriana abbreviata
Eristalis brousii,Parasyrphus tarsatus,Neoascia globosa (distincta),,,Ocyptamus fuscipennis,Chalcosyrphus (Xylota) nemorum
Eristalis fraterculus,Parasyrphus vockerothi,Paragus angustifrons,,,Orthonevra pulchella,Chalcosyrphus (Xylota) piger (pigra)
Eristalis hirta,Pipiza femoralis,Parasyrphus relictus,,,Paragus haemorrhous,Chalcosyrphus (Xylota) vecors
Helophilus groenlandicus,Pipiza puella (nigrotibiata),Parasyrphus tarsatus,,,Parhelophilus rex,Chalcosyrphus anthreas
Helophilus latifrons,Platycheirus angustatus,Parasyrphus vockerothi,,,Platycheirus obscurus,Chalcosyrphus chalybeus
Lejota cyanea,Platycheirus coerulescens,Pipiza femoralis,,,Pyrophaena (Platycheirus) rosarum,Chalcosyrphus curvaria
Melangyna arctica,Platycheirus immarginatus (felix),Pipiza puella (nigrotibiata),,,Sericomyia chrysotoxoides,Chalcosyrphus inarmatus
Melangyna lasiophthalma,Platycheirus luteipennis,Platycheirus angustatus,,,Sericomyia lata,Chalcosyrphus metallicus
Melangyna umbellatarum,Platycheirus modestus,Platycheirus coerulescens,,,Sericomyia militaris,Chalcosyrphus plesia
Meligramma (Melangyna) triangulifera,Pyrophaena (Platycheirus) granditarsis,Platycheirus immarginatus (felix),,,Sericomyia transversa,Cheilosia hunteri (nigrofasciata)
Neoascia globosa (distincta),Sphaerophoria asymmetrica,Platycheirus luteipennis,,,Spilomyia fusca,"Cheilosia lasiophthalmus (browni,nigroapicata)"
Neoascia sandsi,"Sphaerophoria philanthus (dubia,nigritarsi,robusta)",Platycheirus modestus,,,Spilomyia sayi,Cheilosia latrans (tristis)
Neoascia tenur,Sphaerophoria pyrrhina (guttulata),Pyrophaena (Platycheirus) granditarsis,,,Syritta pipiens,Cheilosia pallipes
Neocnemodon elongata,Sphegina flavimana,Scaeva affinis (pyrastri),,,Toxomerus geminatus,Cheilosia rita (alpinensis)
Paragus angustifrons,Syrphus torvus,Sphaerophoria asymmetrica,,,Toxomerus marginatus,"Cheilosia yukonensis (varipila,variseta)"
Parasyrphus relictus,"Volucella facialis (lateralis,rufomaculata)","Sphaerophoria philanthus (dubia,nigritarsi,robusta)",,,,Chrysosyrphus latus (versipellis)
Parasyrphus tarsatus,Xylota flavitibia,Sphaerophoria pyrrhina (guttulata),,,,Chrysotoxum ypsilon
Parasyrphus vockerothi,,Sphegina flavimana,,,,Copestylum (Volucella) satur
Pipiza femoralis,,Syrphus torvus,,,,Copestylum (Volucella) vittatum (americana)
Pipiza puella (nigrotibiata),,Volucella evecta,,,,Copestylum anna
Platycheirus albimanus,,"Volucella facialis (lateralis,rufomaculata)",,,,Copestylum avidum
