RecentDecline,HistoricDecline,RecentIncrease,HistoricIncrease,WeakSupport
Declined between 1961-1990 and 1991-2020,Declined between 1900-1930 and 1991-2020,Increased between 1961-1990 and 1991-2020,Increased between 1900-1930 and 1991-2020,No significant change over recent or historical time frames
Anasimyia anausis,Anasimyia anausis,Allograpta obliqua,Allograpta obliqua,Allograpta exotica
Anasimyia chrysostoma,Anasimyia chrysostoma,Epistrophe grossulariae,Baccha elongata,Anasimyia (Lejops) bilinearis
Cheilosia orilliaensis (consentiens),Brachypalpus femoratus,Eristalinus aeneus,Chalcosyrphus (Xylota) libo,Arctosyrphus (Lejops) willingii
Cheilosia prima,Cheilosia orilliaensis (consentiens),Eristalis flavipes,Epistrophe grossulariae,Baccha cognata
Chrysogaster antitheus (ontario),Chrysotoxum chinook,Eristalis tenax,Eristalinus aeneus,Blera analis
Chrysotoxum chinook,Chrysotoxum coloradense (fasciatum),Eristalis transversa,Eristalis flavipes,Blera armillata
Chrysotoxum coloradense (fasciatum),"Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)",Eupeodes americanus,Eristalis tenax,Blera badia
"Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)",Chrysotoxum flavifrons,Eupeodes fumipennis,Eristalis transversa,Blera confusa
Chrysotoxum flavifrons,Dasysyrphus creper,Helophilus fasciatus,Eupeodes americanus,Blera nigra
Chrysotoxum pubescens (luteopilosum),Dasysyrphus intrudens,Hypocritanus (Ocyptamus) fascipennis,Eupeodes fumipennis,Blera pictipes
Criorhina caudata,Eristalis arbustorum,Polydontomyia (Lejops) curvipes,Helophilus fasciatus,Blera scitula
Criorhina verbosa,Eristalis brousii,Sericomyia militaris,Hypocritanus (Ocyptamus) fascipennis,Brachyopa flavescens
Dasysyrphus creper,Eristalis fraterculus,Spilomyia fusca,"Mallota (Imatisma) posticata (bardus,separata)",Brachyopa notata
Dasysyrphus intrudens,Eristalis hirta,Spilomyia sayi,"Melanostoma mellinum (angustatum,fallax,melanderi,pallitarsis)",Brachyopa perplexa
Dasysyrphus limatus,Helophilus groenlandicus,Toxomerus geminatus,Meliscaeva cinctella,Brachypalpus amithaon
Dasysyrphus pauxillus,Helophilus latifrons,Toxomerus marginatus,Merodon equestris,Brachypalpus cyanella
