"genusspecies","sprecords","num_eras","num_grids","distinct_site.x.interval","Genus","Subfamily","LarvalGuild","RangeSize","BodySize","rothole","introduced","RecentTrend","HistoricTrend","RecentEstimate","HistoricEstimate"
"Allograpta exotica",272,4,28,43,"Allograpta","Syrphinae","Predator",1005,NA,"Other",NA,"WeakSupport","WeakSupport","0.383 [-0.432, 1.404]","0.876 [-0.271, 2.204]"
"Allograpta obliqua",2191,4,154,320,"Allograpta","Syrphinae","Predator",1063,7.2,"Other","no","Increase","Increase","0.29 [0.016, 0.621]","0.722 [0.265, 1.228]"
"Anasimyia (Lejops) bilinearis",207,4,69,98,"Anasimyia","Eristalinae","Saprophagous",1245,NA,"Other",NA,"WeakSupport","WeakSupport","-0.29 [-0.646, 0.097]","-0.286 [-0.623, 0.068]"
"Anasimyia anausis",315,4,84,125,"Anasimyia","Eristalinae","Saprophagous",1540,8.85,"Other","no","Decline","Decline","-0.607 [-0.807, -0.375]","-0.547 [-0.78, -0.284]"
"Anasimyia chrysostoma",120,4,42,63,"Anasimyia","Eristalinae","Saprophagous",603,9.4,"Other","no","Decline","Decline","-0.569 [-0.846, -0.25]","-0.549 [-0.832, -0.244]"
"Arctosyrphus (Lejops) willingii",130,4,29,38,"Arctosyrphus","Eristalinae","Saprophagous",500,NA,"Other",NA,"WeakSupport","WeakSupport","-0.215 [-0.794, 0.345]","-0.182 [-0.735, 0.368]"
"Baccha cognata",217,4,69,102,"Baccha","Syrphinae","Predator",1175,NA,"Other",NA,"WeakSupport","WeakSupport","-0.139 [-0.472, 0.184]","0.018 [-0.376, 0.435]"
"Baccha elongata",119,4,46,62,"Baccha","Syrphinae","Predator",1428,8.7,"Other","no","WeakSupport","Increase","0.619 [-0.176, 1.621]","1.152 [0.022, 2.519]"
"Blera analis",128,4,40,71,"Blera","Eristalinae","Saprophagous",183,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","0.004 [-0.315, 0.331]","0.121 [-0.219, 0.494]"
"Blera armillata",76,4,41,55,"Blera","Eristalinae","Saprophagous",963,NA,"Rothole Specialist",NA,"WeakSupport","WeakSupport","-0.13 [-0.583, 0.293]","0.081 [-0.488, 0.647]"
