RecentDecline,HistoricDecline,RecentIncrease,HistoricIncrease,WeakSupport
Declined between 1961-1990 and 1991-2020,Declined between 1900-1930 and 1991-2020,Increased between 1961-1990 and 1991-2020,Increased between 1900-1930 and 1991-2020,No significant change over recent or historical time frames
Chrysotoxum flavifrons,Helophilus groenlandicus,Allograpta obliqua,Allograpta obliqua,Baccha cognata
Dasysyrphus creper,Pipiza puella (nigrotibiata),Eristalis tenax,Chalcosyrphus (Xylota) libo,Blera badia
Helophilus groenlandicus,Platycheirus modestus,,Eristalis tenax,Blera nigra
Melangyna lasiophthalma,,,"Lapposyrphus (Eupeodes,Metasyrphus) lapponicus",Brachyopa perplexa
Pipiza puella (nigrotibiata),,,Mallota (Imatisma) bautias,Chalcosyrphus inarmatus
Platycheirus angustatus,,,Microdon tristis,Chalcosyrphus plesia
Platycheirus immarginatus (felix),,,Paragus haemorrhous,Cheilosia prima
Platycheirus modestus,,,Xylota subfasciata,Cheilosia rita (alpinensis)
Platycheirus scutatus,,,,Chrysogaster antitheus (ontario)
,,,,Chrysotoxum plumeum (perplexum)
,,,,Chrysotoxum pubescens (luteopilosum)
,,,,Copestylum mexicanum
,,,,Copestylum tamaulipanum
,,,,Copestylum violaceum
,,,,Criorhina caudata
,,,,Criorhina kincaidi
,,,,"Criorhina nigriventris (maritima,mystaceae)"
,,,,Dasysyrphus amalopis
,,,,Dasysyrphus pacificus
,,,,Doros aequalis
,,,,Eumerus strigatus
,,,,Eupeodes fumipennis
,,,,Eupeodes perplexus
,,,,Fazia (Allograpta) micrura
,,,,Ferdinandea croesus
,,,,Hadromyia (Caliprobola) crawfordi
,,,,Helophilus lapponicus
,,,,Lejops cooleyi
,,,,Lejops polygrammus
,,,,Leucozona velutina
,,,,Melangyna fisherii
,,,,Microdon globosus (hutchingsi)
,,,,Microdon manitobensis
,,,,Myolepta varipes
,,,,Neoascia tenur
,,,,Neocnemodon calcarata
,,,,Pelecinobaccha (Ocyptamus) costata
,,,,Pelecocera willistoni
,,,,Pipiza macrofemoralis
,,,,Pipiza nigripilosa
,,,,Pipiza quadrimaculata
,,,,Platycheirus hyperboreus (erraticus)
,,,,Platycheirus nearcticus
,,,,Platycheirus peltatoides
,,,,Platycheirus striatus
,,,,Platycheirus trichopus
,,,,Platycheirus varipes
,,,,Psilota flavidipennis
,,,,Sericomyia chalcopyga
,,,,Sericomyia sexfasciata
,,,,Sphecomyia pattonii
,,,,Sphegina flavomaculata (notata)
,,,,Sphegina rufiventris
,,,,Spilomyia alcimus
,,,,Syrphus attenuatus
,,,,Syrphus knabi
,,,,Syrphus opinator
,,,,Syrphus rectus (transversalis)
,,,,Temnostoma alternans
,,,,Temnostoma trifasciatum
,,,,Toxomerus occidentalis
,,,,Xylota flavifrons
