RecentDecline,HistoricDecline,RecentIncrease,HistoricIncrease,WeakSupport
Declined between 1941-1980 and 1981-2020,Declined between 1900-1940 and 1981-2020,Increased between 1941-1980 and 1981-2020,Increased between 1900-1940 and 1981-2020,No significant change over recent or historical time frames
Chrysotoxum flavifrons,Helophilus groenlandicus,Allograpta obliqua,Allograpta obliqua,Baccha cognata
Criorhina caudata,Platycheirus luteipennis,Eristalis tenax,Blera badia,Blera nigra
Eumerus strigatus,Sphaerophoria pyrrhina (guttulata),Paragus haemorrhous,Chalcosyrphus (Xylota) libo,Brachyopa perplexa
Helophilus groenlandicus,,,Cheilosia rita (alpinensis),Brachypalpus cyanella
Helophilus lapponicus,,,Doros aequalis,Chalcosyrphus chalybeus
Melangyna lasiophthalma,,,Eristalis tenax,Chalcosyrphus inarmatus
Neoascia tenur,,,Eupeodes fumipennis,Cheilosia pallipes
Platycheirus angustatus,,,"Lapposyrphus (Eupeodes,Metasyrphus) lapponicus",Cheilosia prima
Platycheirus immarginatus (felix),,,Mallota (Imatisma) bautias,Chrysogaster antitheus (ontario)
Platycheirus luteipennis,,,Palpada vinetorum,Chrysotoxum plumeum (perplexum)
Platycheirus modestus,,,Paragus haemorrhous,Chrysotoxum pubescens (luteopilosum)
Sphaerophoria pyrrhina (guttulata),,,Platycheirus nearcticus,Copestylum mexicanum
Sphegina keeniana,,,Sericomyia chalcopyga,Copestylum violaceum
,,,Xylota hinei,Criorhina kincaidi
,,,,"Criorhina nigriventris (maritima,mystaceae)"
,,,,Dasysyrphus creper
,,,,Eupeodes perplexus
,,,,Fazia (Allograpta) micrura
,,,,Ferdinandea croesus
,,,,Hadromyia (Caliprobola) crawfordi
,,,,Lejops polygrammus
,,,,Lejota aerea
,,,,Microdon globosus (hutchingsi)
,,,,Microdon ruficrus (basicornis)
,,,,Microdon tristis
,,,,Myolepta pretiosa
,,,,Myolepta strigilata
,,,,Neoascia sandsi
,,,,Orthonevra robusta
,,,,Pelecocera willistoni
,,,,Pipiza quadrimaculata
,,,,Platycheirus hyperboreus (erraticus)
,,,,Platycheirus nigrofemoratus
,,,,Platycheirus peltatoides
,,,,Platycheirus thylax
,,,,Platycheirus trichopus
,,,,Platycheirus varipes
,,,,Sericomyia sexfasciata
,,,,Sphecomyia pattonii
,,,,Sphegina lobata
,,,,Sphegina rufiventris
,,,,Spilomyia foxleei
,,,,Spilomyia liturata
,,,,Syrphus attenuatus
,,,,Syrphus knabi
,,,,Syrphus opinator
,,,,Syrphus rectus (transversalis)
,,,,Temnostoma alternans
,,,,Temnostoma obscurum
,,,,Temnostoma trifasciatum
,,,,Toxomerus occidentalis
,,,,Tropidia albistylum
,,,,Xylota angustiventris
,,,,Xylota flavifrons
,,,,Xylota subfasciata
