"RecentDecline","ExceptionalRecentDecline","HistoricDecline","RecentGrowth","ExceptionalRecentGrowth","HistoricGrowth","NoDiscernibleTrend"
"Declined between 1961-1990 and 1991-2020","Occupancy in 1991-2020 is lower than all historical time periods. (A subset of Recent Decline and Historical Decline)","Declined between 1900-1930 and 1991-2020","Increased between 1961-1990 and 1991-2020","Occupancy in 1991-2020 is greater than all historical time periods (A subset of Recent Growth and Historical Growth)","Increased between 1900-1930 and 1991-2020","No significant change over recent or historical time frames"
"Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)","Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)","Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)","Eristalis flavipes","Eristalis flavipes","Allograpta obliqua","Dioprosopa (Pseudodoros) clavatus"
"Chrysotoxum flavifrons","Chrysotoxum flavifrons","Chrysotoxum flavifrons","Eristalis tenax","Eristalis tenax","Epistrophe grossulariae","Eristalis anthophorina (bastardii)"
"Dasysyrphus intrudens","Dasysyrphus intrudens","Dasysyrphus intrudens","Eupeodes americanus","Eupeodes americanus","Eristalis flavipes","Eristalis dimidiata"
"Eristalis arbustorum","Eristalis brousii","Eristalis arbustorum","Helophilus fasciatus","Helophilus fasciatus","Eristalis tenax","Eristalis nemorum (interrupta)"
"Eristalis brousii","Eristalis hirta","Eristalis brousii","Sericomyia militaris","Sericomyia militaris","Eupeodes americanus","Eristalis obscura"
"Eristalis hirta","Helophilus latifrons","Eristalis hirta","Toxomerus geminatus","Toxomerus geminatus","Helophilus fasciatus","Eristalis stipator"
"Helophilus latifrons","Parasyrphus relictus","Eumerus strigatus","Toxomerus marginatus","Toxomerus marginatus","Meliscaeva cinctella","Eristalis transversa"
"Parasyrphus relictus","Parasyrphus tarsatus","Helophilus latifrons","","","Merodon equestris","Eupeodes fumipennis"
"Parasyrphus tarsatus","Platycheirus immarginatus (felix)","Parasyrphus relictus","","","Paragus haemorrhous","Eupeodes volucris"
"Platycheirus hyperboreus (erraticus)","Pyrophaena (Platycheirus) granditarsis","Parasyrphus tarsatus","","","Pyrophaena (Platycheirus) rosarum","Helophilus lapponicus"
"Platycheirus immarginatus (felix)","Sphaerophoria contigua (cylindricus)","Platycheirus immarginatus (felix)","","","Sericomyia chrysotoxoides","Helophilus obscurus"
"Platycheirus naso (holarcticus)","Sphaerophoria philanthus (dubia,nigritarsi,robusta)","Pyrophaena (Platycheirus) granditarsis","","","Sericomyia militaris","Lapposyrphus (Eupeodes,Metasyrphus) lapponicus"
"Pyrophaena (Platycheirus) granditarsis","Syrphus torvus","Scaeva affinis (pyrastri)","","","Toxomerus geminatus","Melanostoma mellinum (angustatum,fallax,melanderi,pallitarsis)"
"Sphaerophoria contigua (cylindricus)","Volucella facialis (lateralis,rufomaculata)","Sphaerophoria contigua (cylindricus)","","","Toxomerus marginatus","Platycheirus confusus"
"Sphaerophoria philanthus (dubia,nigritarsi,robusta)","","Sphaerophoria philanthus (dubia,nigritarsi,robusta)","","","","Platycheirus obscurus"
"Syrphus torvus","","Syrphus torvus","","","","Platycheirus quadratus"
"Temnostoma balyras","","Volucella facialis (lateralis,rufomaculata)","","","","Platycheirus scambus"
"Volucella facialis (lateralis,rufomaculata)","","","","","","Rhingia nasica"
"","","","","","","Sericomyia chalcopyga"
"","","","","","","Syritta pipiens"
"","","","","","","Syrphus opinator"
"","","","","","","Syrphus rectus (transversalis)"
"","","","","","","Syrphus ribesii (bigelowi)"
"","","","","","","Syrphus vitripennis"
"","","","","","","Temnostoma alternans"
"","","","","","","Temnostoma excentrica (vespiforme)"
"","","","","","","Toxomerus occidentalis"
"","","","","","","Tropidia quadrata"
"","","","","","","Xylota quadrimaculata (artemita)"
"","","","","","","Xylota subfasciata"
