RecentDecline,HistoricDecline,RecentIncrease,HistoricIncrease,WeakSupport
Declined between 1961-1990 and 1991-2020,Declined between 1900-1930 and 1991-2020,Increased between 1961-1990 and 1991-2020,Increased between 1900-1930 and 1991-2020,No significant change over recent or historical time frames
Cheilosia prima,Dasysyrphus creper,Eristalis tenax,Allograpta obliqua,Baccha cognata
Chrysogaster antitheus (ontario),Helophilus groenlandicus,,Chalcosyrphus (Xylota) libo,Blera badia
Chrysotoxum flavifrons,Melangyna lasiophthalma,,Eristalis tenax,Blera nigra
Chrysotoxum pubescens (luteopilosum),Pipiza puella (nigrotibiata),,Eupeodes fumipennis,Brachyopa perplexa
Criorhina caudata,Platycheirus angustatus,,"Lapposyrphus (Eupeodes,Metasyrphus) lapponicus",Chalcosyrphus inarmatus
Dasysyrphus creper,Platycheirus immarginatus (felix),,Mallota (Imatisma) bautias,Chalcosyrphus plesia
Helophilus groenlandicus,Platycheirus modestus,,Paragus haemorrhous,Cheilosia rita (alpinensis)
Melangyna lasiophthalma,,,Pelecinobaccha (Ocyptamus) costata,Chrysotoxum plumeum (perplexum)
Neoascia tenur,,,,Copestylum mexicanum
Pipiza puella (nigrotibiata),,,,Copestylum tamaulipanum
Platycheirus angustatus,,,,Copestylum violaceum
Platycheirus hyperboreus (erraticus),,,,Criorhina kincaidi
Platycheirus immarginatus (felix),,,,"Criorhina nigriventris (maritima,mystaceae)"
Platycheirus modestus,,,,Dasysyrphus amalopis
Platycheirus scutatus,,,,Dasysyrphus pacificus
Platycheirus striatus,,,,Doros aequalis
,,,,Eumerus strigatus
,,,,Eupeodes perplexus
,,,,Fazia (Allograpta) micrura
,,,,Ferdinandea croesus
,,,,Hadromyia (Caliprobola) crawfordi
,,,,Helophilus lapponicus
,,,,Lejops cooleyi
,,,,Lejops polygrammus
,,,,Leucozona velutina
,,,,Melangyna fisherii
,,,,Microdon globosus (hutchingsi)
,,,,Microdon manitobensis
,,,,Microdon tristis
,,,,Myolepta varipes
,,,,Neocnemodon calcarata
,,,,Pelecocera willistoni
,,,,Pipiza macrofemoralis
,,,,Pipiza nigripilosa
,,,,Pipiza quadrimaculata
,,,,Platycheirus nearcticus
,,,,Platycheirus peltatoides
,,,,Platycheirus trichopus
,,,,Platycheirus varipes
,,,,Psilota flavidipennis
,,,,Sericomyia chalcopyga
,,,,Sericomyia sexfasciata
,,,,Sphecomyia pattonii
,,,,Sphegina flavomaculata (notata)
,,,,Sphegina rufiventris
,,,,Spilomyia alcimus
,,,,Syrphus attenuatus
,,,,Syrphus knabi
,,,,Syrphus opinator
,,,,Syrphus rectus (transversalis)
,,,,Temnostoma alternans
,,,,Temnostoma trifasciatum
,,,,Toxomerus occidentalis
,,,,Xylota flavifrons
,,,,Xylota subfasciata
