"","OperationalName","Synonyms","OperationalName_NoBrackets","Synonyms_NoOperationalName"
"1","Anasimyia chrysostoma","Anasimyia chrysostomus","Anasimyia chrysostoma","Anasimyia chrysostomus"
"2","Anasimyia (Lejops) bilinearis","Anasimyia bilinearis, Lejops billinearis, Lejops bilinearis","Anasimyia bilinearis","Lejops billinearis, Lejops bilinearis"
"3","Anasimyia distincta","Anasimyia distinctus","Anasimyia distincta","Anasimyia distinctus"
"4","Anasimyia (Lejops) perfidiosus","Anasimyia perfidiosus, Lejops perfidiosus","Anasimyia perfidiosus","Lejops perfidiosus"
"5","Arctosyrphus (Lejops) willingii","Arctosyrphus willingii, Lejops willingii","Arctosyrphus willingii","Lejops willingii"
"6","Brachypalpus femoratus","Brachypalpus femorata","Brachypalpus femoratus","Brachypalpus femorata"
"7","Brachypalpus oarus (margaritus)","Brachypalpus margaritus, Brachypalpus oarus","Brachypalpus oarus","Brachypalpus margaritus"
"8","Callicera erratica (auripila)","Callicera auripila, Callicera erratica","Callicera erratica","Callicera auripila"
"9","Ceriana (Polybiomyia) sayi","Ceriana sayi, Polybiomyia sayi","Ceriana sayi","Polybiomyia sayi"
"10","Ceriana (Polybiomyia) townsendi","Ceriana townsendi, Polybiomyia townsendi","Ceriana townsendi","Polybiomyia townsendi"
"11","Chalcosyrphus (Xylota) libo","Chalcosyrphus libo, Xylota libo","Chalcosyrphus libo","Xylota libo"
"12","Chalcosyrphus (Xylota) nemorum","Chalcosyrphus nemorum, Xylota nemorum","Chalcosyrphus nemorum","Xylota nemorum"
"13","Chalcosyrphus (Xylota) piger (pigra)","Chalcosyrphus pigra, Chalcosyrphus piger, Xylota pigra","Chalcosyrphus piger","Chalcosyrphus pigra, Xylota pigra"
"14","Chalcosyrphus (Xylota) satanica","Chalcosyrphus satanica, Xylota satanica","Chalcosyrphus satanica","Xylota satanica"
"15","Chalcosyrphus (Xylota) vecors","Chalcosyrphus vecors, Xylota vecors","Chalcosyrphus vecors","Xylota vecors"
"16","Cheilosia borealis (nigroseta)","Cheilosia nigroseta, Cheilosia borealis","Cheilosia borealis","Cheilosia nigroseta"
"17","Cheilosia lasiophthalmus (browni,nigroapicata)","Cheilosia browni, Cheilosia nigroapicata, Cheilosia lasiophthalmus","Cheilosia lasiophthalmus","Cheilosia browni, Cheilosia nigroapicata"
"18","Cheilosia comosa (caltha, sensua)","Cheilosia caltha, Cheilosia sensua, Cheilosia comosa","Cheilosia comosa","Cheilosia caltha, Cheilosia sensua"
"19","Cheilosia orilliaensis (consentiens)","Cheilosia consentiens, Cheilosia orilliaensis","Cheilosia orilliaensis","Cheilosia consentiens"
"20","Cheilosia latrans (tristis)","Cheilosia latrans, Cheilosia tristis","Cheilosia latrans","Cheilosia tristis"
"21","Cheilosia cynoprosopa (cineralis)","Cheilosia cineralis, Cheilosia cynoprosopa","Cheilosia cynoprosopa","Cheilosia cineralis"
"22","Cheilosia hunteri (nigrofasciata)","Cheilosia nigrofasciata, Cheilosia hunteri","Cheilosia hunteri","Cheilosia nigrofasciata"
"23","Cheilosia rita (alpinensis)","Cheilosia alpinensis, Cheilosia rita","Cheilosia rita","Cheilosia alpinensis"
