"RecentDecline","ExceptionalRecentDecline","HistoricDecline","RecentGrowth","ExceptionalRecentGrowth","HistoricGrowth","NoDiscernibleTrend"
"Declined between 1961-1990 and 1991-2020","Occupancy in 1991-2020 is lower than all historical time periods. (A subset of Recent Decline and Historical Decline)","Declined between 1900-1930 and 1991-2020","Increased between 1961-1990 and 1991-2020","Occupancy in 1991-2020 is greater than all historical time periods (A subset of Recent Growth and Historical Growth)","Increased between 1900-1930 and 1991-2020","No significant change over recent or historical time frames"
"Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)","Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)","Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)","Allograpta obliqua","Allograpta obliqua","Allograpta obliqua","Eristalis anthophorina (bastardii)"
"Chrysotoxum flavifrons","Chrysotoxum flavifrons","Chrysotoxum flavifrons","Epistrophe grossulariae","Epistrophe grossulariae","Dioprosopa (Pseudodoros) clavatus","Eristalis dimidiata"
"Dasysyrphus intrudens","Dasysyrphus intrudens","Dasysyrphus intrudens","Eristalis flavipes","Eristalis flavipes","Epistrophe grossulariae","Eristalis nemorum (interrupta)"
"Eristalis arbustorum","Eristalis brousii","Eristalis arbustorum","Eristalis tenax","Eristalis tenax","Eristalis flavipes","Eristalis obscura"
"Eristalis brousii","Eristalis hirta","Eristalis brousii","Eristalis transversa","Eristalis transversa","Eristalis tenax","Eristalis stipator"
"Eristalis hirta","Helophilus latifrons","Eristalis hirta","Eupeodes americanus","Eupeodes americanus","Eristalis transversa","Helophilus obscurus"
"Eupeodes volucris","Parasyrphus relictus","Eumerus strigatus","Eupeodes fumipennis","Eupeodes fumipennis","Eupeodes americanus","Lapposyrphus (Eupeodes,Metasyrphus) lapponicus"
"Helophilus lapponicus","Parasyrphus tarsatus","Helophilus latifrons","Helophilus fasciatus","Helophilus fasciatus","Eupeodes fumipennis","Melanostoma mellinum (angustatum,fallax,melanderi,pallitarsis)"
"Helophilus latifrons","Platycheirus confusus","Parasyrphus relictus","Merodon equestris","Merodon equestris","Helophilus fasciatus","Platycheirus obscurus"
"Parasyrphus relictus","Platycheirus hyperboreus (erraticus)","Parasyrphus tarsatus","Sericomyia chalcopyga","Sericomyia chalcopyga","Meliscaeva cinctella","Rhingia nasica"
"Parasyrphus tarsatus","Platycheirus immarginatus (felix)","Platycheirus confusus","Sericomyia chrysotoxoides","Sericomyia chrysotoxoides","Merodon equestris","Syrphus opinator"
"Platycheirus confusus","Pyrophaena (Platycheirus) granditarsis","Platycheirus hyperboreus (erraticus)","Sericomyia militaris","Sericomyia militaris","Paragus haemorrhous","Syrphus rectus (transversalis)"
"Platycheirus hyperboreus (erraticus)","Sphaerophoria philanthus (dubia,nigritarsi,robusta)","Platycheirus immarginatus (felix)","Syritta pipiens","Toxomerus geminatus","Pyrophaena (Platycheirus) rosarum","Syrphus vitripennis"
"Platycheirus immarginatus (felix)","Syrphus ribesii (bigelowi)","Platycheirus quadratus","Toxomerus geminatus","Toxomerus marginatus","Sericomyia chalcopyga","Temnostoma alternans"
"Platycheirus naso (holarcticus)","Syrphus torvus","Pyrophaena (Platycheirus) granditarsis","Toxomerus marginatus","","Sericomyia chrysotoxoides","Temnostoma excentrica (vespiforme)"
"Platycheirus quadratus","Temnostoma balyras","Scaeva affinis (pyrastri)","","","Sericomyia militaris","Toxomerus occidentalis"
"Platycheirus scambus","Volucella facialis (lateralis,rufomaculata)","Sphaerophoria philanthus (dubia,nigritarsi,robusta)","","","Syritta pipiens","Tropidia quadrata"
"Pyrophaena (Platycheirus) granditarsis","","Syrphus ribesii (bigelowi)","","","Toxomerus geminatus","Xylota quadrimaculata (artemita)"
"Sphaerophoria contigua (cylindricus)","","Syrphus torvus","","","Toxomerus marginatus","Xylota subfasciata"
"Sphaerophoria philanthus (dubia,nigritarsi,robusta)","","Temnostoma balyras","","","",""
"Syrphus ribesii (bigelowi)","","Volucella facialis (lateralis,rufomaculata)","","","",""
"Syrphus torvus","","","","","",""
"Temnostoma balyras","","","","","",""
"Volucella facialis (lateralis,rufomaculata)","","","","","",""
