"RecentDecline","ExceptionalRecentDecline","HistoricDecline","RecentGrowth","ExceptionalRecentGrowth","HistoricGrowth","NoDiscernibleTrend"
"Declined between 1981-2000 and 2001-2020","Occupancy in 2001-2020 is lower than all historical time periods. (A subset of Recent Decline and Historical Decline)","Declined between 1900-1920 and 2001-2020","Increased between 1981-2000 and 2001-2020","Occupancy in 2001-2020 is greater than all historical time periods (A subset of Recent Growth and Historical Growth)","Increased between 1900-1920 and 2001-2020","No significant change over recent or historical time frames"
"Dasysyrphus intrudens","Dasysyrphus intrudens","Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)","Eristalis flavipes","Eristalis flavipes","Allograpta obliqua","Dioprosopa (Pseudodoros) clavatus"
"Helophilus latifrons","Helophilus latifrons","Chrysotoxum flavifrons","Eristalis tenax","Eristalis tenax","Epistrophe grossulariae","Eristalis anthophorina (bastardii)"
"Parasyrphus tarsatus","Platycheirus hyperboreus (erraticus)","Dasysyrphus intrudens","Eristalis transversa","Eristalis transversa","Eristalis flavipes","Eristalis dimidiata"
"Platycheirus hyperboreus (erraticus)","Platycheirus immarginatus (felix)","Eristalis arbustorum","Eupeodes americanus","Eupeodes americanus","Eristalis tenax","Eristalis nemorum (interrupta)"
"Platycheirus immarginatus (felix)","","Eristalis brousii","Helophilus fasciatus","Helophilus fasciatus","Eristalis transversa","Eristalis obscura"
"Platycheirus naso (holarcticus)","","Eristalis hirta","Helophilus obscurus","Sericomyia militaris","Eupeodes americanus","Eristalis stipator"
"Platycheirus quadratus","","Helophilus latifrons","Lapposyrphus (Eupeodes,Metasyrphus) lapponicus","Toxomerus geminatus","Helophilus fasciatus","Eumerus strigatus"
"Temnostoma balyras","","Platycheirus hyperboreus (erraticus)","Merodon equestris","Toxomerus marginatus","Meliscaeva cinctella","Eupeodes fumipennis"
"","","Platycheirus immarginatus (felix)","Sericomyia militaris","","Merodon equestris","Eupeodes volucris"
"","","Platycheirus quadratus","Syritta pipiens","","Paragus haemorrhous","Helophilus lapponicus"
"","","Pyrophaena (Platycheirus) granditarsis","Syrphus opinator","","Pyrophaena (Platycheirus) rosarum","Melanostoma mellinum (angustatum,fallax,melanderi,pallitarsis)"
"","","Syrphus torvus","Syrphus vitripennis","","Sericomyia chrysotoxoides","Parasyrphus relictus"
"","","Temnostoma balyras","Toxomerus geminatus","","Sericomyia militaris","Platycheirus confusus"
"","","Volucella facialis (lateralis,rufomaculata)","Toxomerus marginatus","","Syritta pipiens","Platycheirus obscurus"
"","","","Xylota quadrimaculata (artemita)","","Toxomerus geminatus","Platycheirus scambus"
"","","","","","Toxomerus marginatus","Rhingia nasica"
"","","","","","Xylota quadrimaculata (artemita)","Scaeva affinis (pyrastri)"
"","","","","","","Sericomyia chalcopyga"
"","","","","","","Sphaerophoria contigua (cylindricus)"
"","","","","","","Sphaerophoria philanthus (dubia,nigritarsi,robusta)"
"","","","","","","Syrphus rectus (transversalis)"
"","","","","","","Syrphus ribesii (bigelowi)"
"","","","","","","Temnostoma alternans"
"","","","","","","Temnostoma excentrica (vespiforme)"
"","","","","","","Toxomerus occidentalis"
"","","","","","","Tropidia quadrata"
"","","","","","","Xylota subfasciata"
