"RecentDecline","ExceptionalRecentDecline","HistoricDecline","RecentGrowth","ExceptionalRecentGrowth","HistoricGrowth","NoDiscernibleTrend"
"Declined between 1961-1990 and 1991-2020","Occupancy in 1991-2020 is lower than all historical time periods. (A subset of Recent Decline and Historical Decline)","Declined between 1900-1930 and 1991-2020","Increased between 1961-1990 and 1991-2020","Occupancy in 1991-2020 is greater than all historical time periods (A subset of Recent Growth and Historical Growth)","Increased between 1900-1930 and 1991-2020","No significant change over recent or historical time frames"
"Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)","Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)","Chrysotoxum derivatum (columbianum,integre,minor,ventricosum)","Epistrophe grossulariae","Epistrophe grossulariae","Allograpta obliqua","Dioprosopa (Pseudodoros) clavatus"
"Chrysotoxum flavifrons","Chrysotoxum flavifrons","Chrysotoxum flavifrons","Eristalis flavipes","Eristalis flavipes","Epistrophe grossulariae","Eristalis anthophorina (bastardii)"
"Dasysyrphus intrudens","Dasysyrphus intrudens","Dasysyrphus intrudens","Eristalis tenax","Eristalis tenax","Eristalis flavipes","Eristalis dimidiata"
"Eristalis arbustorum","Eristalis brousii","Eristalis arbustorum","Eristalis transversa","Eristalis transversa","Eristalis tenax","Eristalis nemorum (interrupta)"
"Eristalis brousii","Eristalis hirta","Eristalis brousii","Eupeodes americanus","Eupeodes americanus","Eristalis transversa","Eristalis obscura"
"Eristalis hirta","Helophilus latifrons","Eristalis hirta","Helophilus fasciatus","Helophilus fasciatus","Eupeodes americanus","Eristalis stipator"
"Helophilus latifrons","Parasyrphus relictus","Eumerus strigatus","Sericomyia chrysotoxoides","Sericomyia chrysotoxoides","Eupeodes fumipennis","Eupeodes volucris"
"Parasyrphus relictus","Parasyrphus tarsatus","Helophilus latifrons","Sericomyia militaris","Sericomyia militaris","Helophilus fasciatus","Helophilus lapponicus"
"Parasyrphus tarsatus","Platycheirus hyperboreus (erraticus)","Parasyrphus relictus","Toxomerus geminatus","Toxomerus geminatus","Meliscaeva cinctella","Helophilus obscurus"
"Platycheirus confusus","Platycheirus immarginatus (felix)","Parasyrphus tarsatus","Toxomerus marginatus","Toxomerus marginatus","Merodon equestris","Lapposyrphus (Eupeodes,Metasyrphus) lapponicus"
"Platycheirus hyperboreus (erraticus)","Pyrophaena (Platycheirus) granditarsis","Platycheirus hyperboreus (erraticus)","","","Paragus haemorrhous","Melanostoma mellinum (angustatum,fallax,melanderi,pallitarsis)"
"Platycheirus immarginatus (felix)","Sphaerophoria contigua (cylindricus)","Platycheirus immarginatus (felix)","","","Pyrophaena (Platycheirus) rosarum","Platycheirus obscurus"
"Platycheirus naso (holarcticus)","Sphaerophoria philanthus (dubia,nigritarsi,robusta)","Pyrophaena (Platycheirus) granditarsis","","","Sericomyia chrysotoxoides","Platycheirus quadratus"
"Pyrophaena (Platycheirus) granditarsis","Syrphus torvus","Scaeva affinis (pyrastri)","","","Sericomyia militaris","Platycheirus scambus"
"Sphaerophoria contigua (cylindricus)","Volucella facialis (lateralis,rufomaculata)","Sphaerophoria contigua (cylindricus)","","","Syritta pipiens","Rhingia nasica"
"Sphaerophoria philanthus (dubia,nigritarsi,robusta)","","Sphaerophoria philanthus (dubia,nigritarsi,robusta)","","","Toxomerus geminatus","Sericomyia chalcopyga"
"Syrphus torvus","","Syrphus torvus","","","Toxomerus marginatus","Syrphus opinator"
"Temnostoma balyras","","Volucella facialis (lateralis,rufomaculata)","","","","Syrphus rectus (transversalis)"
"Volucella facialis (lateralis,rufomaculata)","","","","","","Syrphus ribesii (bigelowi)"
"","","","","","","Syrphus vitripennis"
"","","","","","","Temnostoma alternans"
"","","","","","","Temnostoma excentrica (vespiforme)"
"","","","","","","Toxomerus occidentalis"
"","","","","","","Tropidia quadrata"
"","","","","","","Xylota quadrimaculata (artemita)"
"","","","","","","Xylota subfasciata"
